From	To
Q92482	Q92482
Q12951	Q12951
Q96JA3	Q96JA3
Q0D2N8	Q0D2N8
Q9UMX0	Q9UMX0
Q96CU9	Q96CU9
Q9UK61	Q9UK61
Q9UGK8	Q9UGK8
Q9NY85	Q9NY85
P20023	P20023
Q8IZS5	Q8IZS5
O60346	O60346
Q9H4E7	Q9H4E7
P04179	P04179
Q8IZQ5	Q8IZQ5
P10523	P10523
Q5JTD0	Q5JTD0
Q71UM5	Q71UM5
Q16820	Q16820
Q9NSI8	Q9NSI8
P0CJ68	P0CJ68
Q96C86	Q96C86
P07148	P07148
Q15436	Q15436
Q9Y5H8	Q9Y5H8
Q9NVN3	Q9NVN3
Q59H18	Q59H18
Q53NU3	Q53NU3
Q9H061	Q9H061
P28370	P28370
O15164	O15164
P30793	P30793
Q9UNI6	Q9UNI6
Q0PNE2	Q0PNE2
Q8N2Y8	Q8N2Y8
K7EM37	K7EM37
Q8WUM9	Q8WUM9
Q9UF47	Q9UF47
O60502	O60502
Q9BZI0	Q9BZI0
Q7Z412	Q7Z412
Q5VYM1	Q5VYM1
P56746	P56746
Q9NQY0	Q9NQY0
A0FGR8	A0FGR8
Q9NWG8	Q9NWG8
O60575	O60575
P04229	P01911
P62070	P62070
P31639	P31639
Q9NV39	Q9NV39
Q15303	Q15303
O00142	O00142
Q9P126	Q9P126
P05187	P05187
O75783	O75783
Q9Y4C8	Q9Y4C8
Q9NS23	Q9NS23
Q8N108	Q8N108
P11161	P11161
Q96DZ5	Q96DZ5
O00507	O00507
Q14184	Q14184
O75132	O75132
P23508	P23508
P78367	P78367
Q9BW83	Q9BW83
P78368	P78368
P01588	P01588
Q9HAJ7	Q9HAJ7
O43257	O43257
Q9NRC6	Q9NRC6
Q9HBD1	Q9HBD1
Q9NV12	Q9NV12
P40189	P40189
P16035	P16035
Q7L5N7	Q7L5N7
Q56A73	Q56A73
Q9UBY5	Q9UBY5
Q9UJ78	Q9UJ78
Q8NET5	Q8NET5
Q92609	Q92609
O75496	O75496
Q86XE5	Q86XE5
Q969J5	Q969J5
Q5HYH7	Q8N3L3
P62158	P0DP23
P62158	P0DP24
P62158	P0DP25
P60983	P60983
Q15643	Q15643
Q6P1S2	Q6P1S2
O43930	O43930
P21246	P21246
O60504	O60504
Q99471	Q99471
P38398	P38398
O76041	O76041
Q6V0I7	Q6V0I7
Q96LL3	Q96LL3
O14645	O14645
E9PEN0	E9PEN0
P19237	P19237
P09211	P09211
P20340	P20340
Q86X51	Q86X51
Q9H1M0	Q9H1M0
Q5T011	Q5T011
V9HW29	V9HW29
Q9BYB0	Q9BYB0
C9JX80	C9JX80
Q68DV7	Q68DV7
Q13227	Q13227
P39905	P39905
Q9UM73	Q9UM73
P16519	P16519
Q99704	Q99704
Q5BKX5	Q5BKX5
P15428	P15428
O95631	O95631
Q9NP66	Q9NP66
Q96J88	Q96J88
Q8NCT3	Q8NCT3
Q9H1K0	Q9H1K0
H0Y2S9	H0Y2S9
Q15053	Q15053
Q8N4L5	Q8N4L5
Q5T686	Q5T686
Q96LX8	Q96LX8
Q8TDS5	Q8TDS5
O75366	O75366
Q9UPV0	Q9UPV0
Q9BY12	Q9BY12
Q9UP95	Q9UP95
O60765	O60765
Q5UIP0	Q5UIP0
Q96BF3	Q96BF3
Q9Y6X5	Q9Y6X5
O75077	O75077
O00422	O00422
Q4G163	Q4G163
Q96MP8	Q96MP8
Q8TDB8	Q8TDB8
Q8NFH8	Q8NFH8
Q92526	Q92526
Q8WXI9	Q8WXI9
Q9BQT8	Q9BQT8
Q9H0C2	Q9H0C2
Q9P2E8	Q9P2E8
Q8N103	Q8N103
Q8N205	Q8N205
Q9H1Z9	Q9H1Z9
Q9NX61	Q9NX61
Q9HCM7	Q9HCM7
Q9H5J0	Q9H5J0
O43683	O43683
Q14112	Q14112
Q9UK45	Q9UK45
P41229	P41229
Q9NQS5	Q9NQS5
Q9BZC7	Q9BZC7
Q9ULH0	Q9ULH0
Q8IZU2	Q8IZU2
O75379	O75379
Q8NHY3	Q8NHY3
A0A0R4J2E8	A0A0R4J2E8
Q15056	Q15056
Q9P1G2	Q9P1G2
P46778	P46778
P35227	P35227
Q4VNC1	Q4VNC1
O00257	O00257
Q60I27	Q60I27
Q9C030	Q9C030
P25774	P25774
P30483	P01889
O95256	O95256
P20936	P20936
Q9H3D4	Q9H3D4
Q9NY97	Q9NY97
P25963	P25963
P52436	P62875
P52436	P62876
Q8WVK1	Q8WVK1
P35453	P35453
B4DNA4	B4DNA4
Q5TZA2	Q5TZA2
Q5R2W2	Q9ULJ3
A0A024R7E8	A0A024R7E8
Q8WUX9	Q8WUX9
P61254	P61254
Q9H4R4	Q9H4R4
Q15628	Q15628
O14610	O14610
P57721	P57721
Q15942	Q15942
Q9P1U1	Q9P1U1
P78356	P78356
Q9UFB7	Q9UFB7
A5YKK6	A5YKK6
Q8WVV9	Q8WVV9
P50336	P50336
Q9BRL4	Q9BRL4
Q13564	Q13564
Q6ZRI6	Q6ZRI6
Q8N5Z9	Q8N5Z9
Q8N4S9	Q8N4S9
O15156	O15156
Q9UBK7	Q9UBK7
P01008	P01008
Q96PG8	Q96PG8
O75691	O75691
Q4G0S1	Q4G0S1
V9HW98	V9HW98
Q53G26	Q53G26
C9JFV4	C9JFV4
Q3SXR9	Q3SXR9
Q9UL92	Q9UL92
H0Y2U5	H0Y2U5
P53805	P53805
Q04671	Q04671
Q8WWV6	Q8WWV6
P40200	P40200
H3BRL3	H3BRL3
A0AVN2	A0AVN2
Q96BI1	Q96BI1
Q9NV06	Q9NV06
P35670	P35670
P09769	P09769
P32926	P32926
Q9HCF4	Q63HN8
Q9NY59	Q9NY59
P23490	P23490
Q4AE62	Q4AE62
A0A0C4DGF2	A0A0C4DGF2
Q9Y235	Q9Y235
Q8NCA5	Q8NCA5
Q15572	Q15572
Q86UQ0	Q86UQ0
Q6ZS27	Q6ZS27
Q8N9E0	Q8N9E0
Q13939	Q13939
Q02045	Q02045
Q6NUN7	Q6NUN7
Q4G176	Q4G176
Q32M78	Q32M78
Q86WT6	Q86WT6
Q15102	Q15102
Q53EL6	Q53EL6
Q6P444	Q6P444
I6L957	I6L957
O43557	O43557
P35520	P35520
Q75MR5	Q75MR5
Q8N7X2	Q8N7X2
O14498	O14498
Q5JT25	Q5JT25
Q8N394	Q8N394
Q8NA23	Q8NA23
Q9HBB8	Q9HBB8
Q8IYT8	Q8IYT8
Q14008	Q14008
Q15629	Q15629
Q6GYQ0	Q6GYQ0
Q8WUA8	Q8WUA8
Q70EK9	Q70EK9
Q92572	Q92572
P14920	P14920
Q9H2S1	Q9H2S1
Q16221	Q16221
Q86WN2	Q86WN2
Q13746	Q13746
P60568	P60568
Q9NX40	Q9NX40
O43708	O43708
P21127	P21127
Q01968	Q01968
Q8IXP7	Q8IXP7
P82979	P82979
P21810	P21810
Q9UGB7	Q9UGB7
P00533	P00533
Q149N8	Q149N8
Q13118	Q13118
Q8WUY8	Q8WUY8
Q9NZW5	Q9NZW5
Q7L591	Q7L591
Q9NSB8	Q9NSB8
Q9Y5F1	Q9Y5F1
Q5JPT3	Q5JPT3
P53674	P53674
Q9BX66	Q9BX66
Q9BRG1	Q9BRG1
O43290	O43290
H0YJE3	H0YJE3
Q96HI0	Q96HI0
Q9BT78	Q9BT78
Q8NGH7	Q8NGH7
Q8WWM9	Q8WWM9
Q8WYL5	Q8WYL5
Q96K62	Q96K62
Q8N4B4	Q8N4B4
P80511	P80511
Q9BW19	Q9BW19
Q15546	Q15546
P63098	P63098
P04746	P04746
Q70CQ4	Q70CQ4
P15586	P15586
O00567	O00567
Q8N6N3	Q8N6N3
P21754	P21754
Q12837	Q12837
Q5T9L3	Q5T9L3
P06850	P06850
Q8IZN1	Q8IZN1
Q92610	Q92610
Q8TDW0	Q8TDW0
P00488	P00488
Q8IY26	Q8IY26
O43324	O43324
Q12901	Q12901
Q8NFZ0	Q8NFZ0
P42898	P42898
P31273	P31273
Q9Y6J9	Q9Y6J9
P08151	P08151
Q9UPQ0	Q9UPQ0
B2RDX5	B2RDX5
Q8N6M8	Q8N6M8
Q9P2G1	Q9P2G1
Q5TH69	Q5TH69
Q9ULR3	Q9ULR3
Q8N461	Q8N461
Q3SXM5	Q3SXM5
Q7Z6C6	O75069
P31270	P31270
P0DME0	P0DME0
P67812	P67812
A2RTY3	A2RTY3
Q9UKJ3	Q9UKJ3
Q9H598	Q9H598
Q6F5E8	Q6F5E8
A3RJH1	A3RJH1
P53992	P53992
P41219	P41219
Q96II8	Q96II8
O95670	O95670
Q1XH10	Q1XH10
Q99715	Q99715
Q9H8M5	Q9H8M5
Q6P5X7	Q6P5X7
O95372	O95372
Q5VTE6	Q5VTE6
Q7Z3K3	Q7Z3K3
Q15058	Q15058
Q96CC6	Q96CC6
B0B1U2	B0B1U2
Q562R1	Q562R1
P29597	P29597
Q8IVN3	Q8IVN3
P23381	P23381
I3L2B0	I3L2B0
O15315	O15315
A0A0G2JIW1	A0A0G2JIW1
O43676	O43676
Q9NX05	Q9NX05
Q9NVV9	Q9NVV9
O60563	O60563
Q96C10	Q96C10
P08254	P08254
Q8TF47	Q8TF47
P48444	P48444
Q96IR2	Q96IR2
Q86UC2	Q86UC2
Q5H9K5	Q5H9K5
P42773	P42773
P52564	P52564
Q8N0Z6	Q8N0Z6
Q9H0N5	Q9H0N5
P05155	P05155
Q9NZI5	Q9NZI5
V9HW27	V9HW27
P25787	P25787
Q9UHN1	Q9UHN1
Q8N4F4	Q8N4F4
Q9H299	Q9H299
Q96QL7	Q96QL7
Q86TT2	Q86TT2
Q15032	Q15032
Q9BTF0	Q9BTF0
P15509	P15509
Q8IZ81	Q8IZ81
Q96NM4	Q96NM4
Q7L8W6	Q7L8W6
Q9HCL3	Q9HCL3
Q08209	Q08209
Q9UPQ4	Q9UPQ4
P49368	P49368
Q8IYP9	Q8IYP9
P04275	P04275
Q9NQ75	Q9NQ75
P24863	P24863
Q969Y6	Q969Y6
B4DDJ5	B4DDJ5
Q00059	Q00059
Q1LZN1	Q1LZN1
O00451	O00451
Q8TEH3	Q8TEH3
Q9BTL4	Q9BTL4
P82279	P82279
O75529	O75529
O76011	O76011
Q9BXA5	Q9BXA5
Q96EP5	Q96EP5
Q9BPX7	Q9BPX7
Q6P1N0	Q6P1N0
Q5T447	Q5T447
O75900	O75900
Q8N431	Q8N431
Q5SRQ6	Q5SRQ6
Q9H6S7	Q9H6S7
P34932	P34932
P55895	P55895
Q9Y241	Q9Y241
O14602	O14602
Q8NDZ0	Q8NDZ0
Q96DT5	Q96DT5
Q96BR6	Q96BR6
Q8N6K4	Q8N6K4
Q96F24	Q96F24
P35398	P35398
Q8IYU8	Q8IYU8
Q7Z738	Q7Z738
Q9HAW8	Q9HAW8
P0CI25	P0CI25
Q9NVA4	Q9NVA4
Q96M02	Q96M02
Q17RF5	Q17RF5
H0YLN8	H0YLN8
Q8WZ82	Q8WZ82
F8WCM5	F8WCM5
Q9P107	Q9P107
Q86T82	Q86T82
H9KV84	H9KV84
Q8NEZ4	Q8NEZ4
Q8N554	Q8N554
Q96EV2	Q96EV2
Q13542	Q13542
Q2TB72	Q2TB72
P17039	P17039
A0A0C4DFS6	A0A0C4DFS6
Q6ZMY6	Q6ZMY6
Q9NW82	Q9NW82
Q9Y266	Q9Y266
A6NFR6	A6NFR6
Q03111	Q03111
Q86UL8	Q86UL8
Q6ICL0	Q6ICL0
Q13547	Q13547
Q14D14	P51787
Q9NR22	Q9NR22
Q8NG27	Q8NG27
Q6L8G4	Q6L8G4
H0YBV7	H0YBV7
Q01469	Q01469
Q3KP66	Q3KP66
Q32MQ0	Q32MQ0
Q96NG8	Q96NG8
Q8NEM7	Q8NEM7
Q9H7C9	Q9H7C9
P46777	P46777
Q05BV3	Q05BV3
Q9BQL6	Q9BQL6
G3XAN4	G3XAN4
O43482	O43482
Q9NR96	Q9NR96
Q8IV61	Q8IV61
Q9NUU7	Q9NUU7
Q4FZB7	Q4FZB7
P52735	P52735
Q5JTJ3	Q5JTJ3
O75820	O75820
Q8NBR0	Q8NBR0
Q53HV2	Q53HV2
Q70EL4	Q70EL4
Q86XA8	Q86XA8
Q8N4Z0	Q8N4Z0
Q9UJX0	Q9UJX0
Q8N7Q3	Q8N7Q3
Q8WY54	Q8WY54
Q92913	Q92913
Q8N6N6	Q8N6N6
Q96IY1	Q96IY1
Q6T4R5	Q6T4R5
F8W118	F8W118
Q9H3H3	Q9H3H3
P52565	P52565
Q8N742	Q8N742
Q07325	Q07325
O75376	O75376
Q8IUC4	Q8IUC4
Q8TDP1	Q8TDP1
Q58WW2	Q58WW2
Q9C0H2	Q9C0H2
Q9Y2Z9	Q9Y2Z9
Q8TC29	Q8TC29
F8WDT5	F8WDT5
Q9BWV3	Q9BWV3
P16234	P16234
Q8IVU3	Q8IVU3
Q13901	Q13901
Q96PL1	Q96PL1
V9HW56	V9HW56
Q96DT6	Q96DT6
Q5T8Z1	Q5T8Z1
Q99590	Q99590
P63165	P63165
Q6PUV4	Q6PUV4
Q8NEY8	Q8NEY8
Q5BJG6	Q5BJG6
Q9BR76	Q9BR76
O60880	O60880
Q9H6F2	Q9H6F2
P57772	P57772
Q504T8	Q504T8
Q9Y5G2	Q9Y5G2
Q5VZB9	Q5VZB9
O94916	O94916
P20930	P20930
Q8WW14	Q8WW14
O60602	O60602
P10412	P10412
Q99727	Q99727
A0MZ66	A0MZ66
Q6K0P9	Q6K0P9
Q9H8G2	Q9H8G2
A3KMH1	A3KMH1
Q9P0J0	Q9P0J0
Q6IEE8	Q6IEE8
Q9BTU6	Q9BTU6
Q14241	Q14241
Q9NY35	Q9NY35
Q8N7K0	Q8N7K0
Q7RTU7	Q7RTU7
Q9UKN1	Q9UKN1
Q5I7T1	Q5I7T1
Q8IY37	Q8IY37
Q04741	Q04741
Q9H169	Q9H169
Q92570	Q92570
Q7RTR0	Q7RTR0
Q9Y6Y0	Q9Y6Y0
Q9BSW2	Q9BSW2
O00305	O00305
P04637	P04637
Q9UHY1	Q9UHY1
Q75VX8	Q75VX8
P62633	P62633
Q8NHH1	Q8NHH1
P62979	P62979
P49674	P49674
Q9NVT9	Q9NVT9
A8K7B7	A8K7B7
Q9BQ90	Q9BQ90
Q96JW4	Q96JW4
O14543	O14543
O15498	O15498
Q9H361	Q9H361
Q8HHH1	Q8HHH1
Q8N5S1	Q8N5S1
C9JLU1	C9JLU1
P13686	P13686
P78406	P78406
Q9P2S2	Q9P2S2
P00326	P00326
Q63HM9	Q63HM9
O14669	O14669
P0DN86	P0DN86
P01854	P01854
Q86YW7	Q86YW7
Q8WUE3	Q8WUE3
O75420	O75420
Q68D51	Q68D51
O15131	O15131
Q8IV54	Q8IV54
Q08E77	Q08E77
Q6NVI1	Q6NVI1
P12524	P12524
Q9Y315	Q9Y315
P07949	P07949
Q9BRP1	Q9BRP1
Q9P2N2	Q9P2N2
Q14188	Q14188
Q96A47	Q96A47
Q49AR2	Q49AR2
Q9UBF9	Q9UBF9
Q9P2D6	Q9P2D6
Q5VZF2	Q5VZF2
A7E2Y1	A7E2Y1
O95900	O95900
Q8IYH5	Q8IYH5
Q8WVV5	Q8WVV5
Q59E89	Q59E89
Q13753	Q13753
P02790	P02790
P35908	P35908
Q6UXH1	Q6UXH1
B3KM81	B3KM81
O15198	O15198
P50607	P50607
O15527	O15527
Q9Y2G8	Q9Y2G8
Q13085	Q13085
P20963	P20963
O95167	O95167
Q96PD2	Q96PD2
P61964	P61964
Q13206	Q13206
O60902	O60902
Q9H6S1	Q9H6S1
P30988	P30988
P68036	P68036
Q9H300	Q9H300
Q17RD7	Q17RD7
Q6NXR8	Q6NXR8
Q9BRC7	Q9BRC7
Q4KMG0	Q4KMG0
Q96NZ1	Q96NZ1
Q494U1	Q494U1
Q96L33	Q96L33
P0C7H9	P0C7H9
Q15048	Q15048
Q7KZQ1	Q7KZQ1
Q9BQS8	Q9BQS8
Q7Z5H3	Q7Z5H3
Q569K6	Q569K6
Q5SWA1	Q5SWA1
Q07021	Q07021
P08493	P08493
Q8NBW4	Q8NBW4
P36543	P36543
P05165	P05165
P15291	P15291
P15918	P15918
Q5BJF2	Q5BJF2
Q9P2P1	Q9P2P1
P03905	P03905
O75711	O75711
C9JMG5	C9JMG5
P35637	P35637
F8VUJ3	F8VUJ3
A0A087WZU1	A0A087WZU1
Q9ULL1	Q9ULL1
Q13651	Q13651
Q9Y2S2	Q9Y2S2
Q969Q1	Q969Q1
P09525	P09525
Q12778	Q12778
O75396	O75396
P17081	P17081
P13378	P13378
Q9NX47	Q9NX47
Q9UPQ7	Q9UPQ7
P05496	P05496
Q9UKK6	Q9UKK6
P83731	P83731
Q7KZ85	Q7KZ85
Q9NQZ3	Q9NQZ3
Q9BVK6	Q9BVK6
O75051	O75051
Q7L8C5	Q7L8C5
Q9H2K8	Q9H2K8
Q8TC84	Q8TC84
Q6LC01	Q6LC01
Q8N339	Q8N339
O60716	O60716
P52630	P52630
Q11206	Q11206
Q01844	Q01844
Q9NSU2	Q9NSU2
Q14168	Q14168
O95429	O95429
Q14CM0	Q14CM0
H0YJT2	H0YJT2
P07093	P07093
Q9UMR2	Q9UMR2
P14649	P14649
Q93070	Q93070
Q6P4E1	Q6P4E1
O43542	O43542
P42166	P42166
Q5VW32	Q5VW32
Q9NWB6	Q9NWB6
P20594	P20594
P15336	P15336
Q9NS56	Q9NS56
O95786	O95786
Q6ZNW5	Q6ZNW5
Q14565	Q14565
Q58FF7	Q58FF7
Q0P5U8	Q0P5U8
P16581	P16581
Q96AE7	Q96AE7
Q15327	Q15327
Q4U2R8	Q4U2R8
Q8TF50	Q8TF50
P59510	P59510
O00571	O00571
Q14679	Q14679
Q8N4P2	Q8N4P2
Q6Y2X3	Q6Y2X3
P55345	P55345
Q6ZPD9	Q6ZPD9
A0A024RDU4	A0A024RDU4
Q9UI12	Q9UI12
Q8NCP5	Q8NCP5
Q14674	Q14674
B3KUN1	B3KUN1
Q99497	Q99497
A6NFQ2	A6NFQ2
Q9H4M3	Q9H4M3
O60721	O60721
P01137	P01137
C9JRZ8	C9JRZ8
Q3SY00	Q3SY00
Q6P995	Q6P995
Q5VV43	Q5VV43
Q9NYZ1	Q9NYZ1
Q9NZ23	Q9NZ23
P12036	P12036
E9PPU1	E9PPU1
Q8IZW4	Q8IZW4
A6NMK7	A6NMK7
Q8WXF8	Q8WXF8
Q8WUZ0	Q8WUZ0
Q9BW66	Q9BW66
A2RRL7	A2RRL7
Q1RMZ5	Q1RMZ5
Q9BS86	Q9BS86
A1A5B4	A1A5B4
P49450	P49450
Q6UE05	Q6UE05
P50150	P50150
Q7RTU0	Q7RTU0
O60271	O60271
Q96CK0	Q96CK0
Q9NZB8	Q9NZB8
Q9NQR3	Q9NQR3
Q71UI9	Q71UI9
Q8N3Z6	Q8N3Z6
Q5VVD7	Q8IWE5
Q9UHW9	Q9UHW9
A0A0C4DFQ2	A0A0C4DFQ2
A0A0C4DFY5	A0A0C4DFY5
Q5HYI8	Q5HYI8
E9PFR3	E9PFR3
Q7Z6J6	Q7Z6J6
Q8WWW8	Q8WWW8
O14682	O14682
Q9UKA8	Q9UKA8
Q8TER0	Q8TER0
Q05DH4	Q05DH4
Q9XRX5	Q9XRX5
P54920	P54920
Q9H7L9	Q9H7L9
Q86X27	Q86X27
Q9H6R7	Q9H6R7
Q6ZWJ1	Q6ZWJ1
Q5T681	Q5T681
Q6FGG2	Q6FGG2
O60869	O60869
P68871	P68871
Q6R2W3	Q6R2W3
Q6P3S1	Q6P3S1
Q5TA77	Q5TA77
Q9BYR5	Q9BYR5
P24278	P24278
Q3MIS6	Q3MIS6
Q93088	Q93088
Q8IY18	Q8IY18
P51812	P51812
Q9Y4K1	Q9Y4K1
Q8N543	Q8N543
P55199	P55199
Q9UBC5	Q9UBC5
P61278	P61278
P18858	P18858
Q05DE3	Q05DE3
Q9H867	Q9H867
Q16322	Q16322
Q15345	Q15345
E7CU85	E7CU85
Q9NRF2	Q9NRF2
P28222	P28222
Q9P055	Q9P055
B2RXH8	B2RXH8
Q9NRZ9	Q9NRZ9
P00451	P00451
Q9Y285	Q9Y285
Q8NCQ7	Q8NCQ7
P51608	P51608
P20337	P20337
O15078	O15078
O94850	O94850
Q86YT6	Q86YT6
Q9BZI7	Q9BZI7
Q9BX46	Q9BX46
P40429	P40429
Q7Z3I7	Q7Z3I7
Q9UBD3	Q9UBD3
Q8WV37	Q8WV37
Q9UBT2	Q9UBT2
Q9BVG3	Q9BVG3
Q9C0I3	Q9C0I3
Q86UR1	Q86UR1
P58658	P58658
Q96T91	Q96T91
Q9NRJ5	Q9NRJ5
Q9BWT3	Q9BWT3
Q92729	Q92729
Q5M7Z0	Q5M7Z0
Q9H0X4	Q9H0X4
F5H365	F5H365
P16455	P16455
Q7Z442	Q7Z442
P23297	P23297
P49754	P49754
P06858	P06858
Q08623	Q08623
O95907	O95907
P63146	P63146
Q96D09	Q96D09
Q9C0B1	Q9C0B1
Q9H2A9	Q9H2A9
Q02978	Q02978
P35226	P35226
Q29963	P10321
E9PHY5	E9PHY5
Q5TIH2	Q5TIH2
Q9UIE0	Q9UIE0
Q08554	Q08554
Q86VP3	Q86VP3
B4DDS7	B4DDS7
Q9BV57	Q9BV57
Q03135	Q03135
Q14781	Q14781
P09630	P09630
Q8WUQ7	Q8WUQ7
P30414	P30414
O60890	O60890
Q6ICB0	Q6ICB0
Q14315	Q14315
F1D8N6	F1D8N6
P12821	P12821
Q9H246	Q9H246
O00744	O00744
Q96MZ4	Q96MZ4
Q9HBG7	Q9HBG7
O95104	O95104
P21917	P21917
P57055	P57055
O43505	O43505
Q13015	Q13015
Q9UFG5	Q9UFG5
Q00526	Q00526
Q14442	Q14442
Q29865	P10321
Q99075	Q99075
Q96CG8	Q96CG8
O75937	O75937
Q15646	Q15646
Q9NYP7	Q9NYP7
Q5SU16	Q5SU16
P08238	P08238
O43490	O43490
O75897	O75897
Q9NQZ7	Q9NQZ7
P57075	P57075
P09564	P09564
A4D127	P50222
P30305	P30305
Q7L8A9	Q7L8A9
P48058	P48058
Q53S70	Q53S70
O43687	O43687
Q9BZI1	Q9BZI1
P98175	P98175
Q8TDQ7	Q8TDQ7
F7VJQ1	F7VJQ1
Q8NDH3	Q8NDH3
P0C2L3	P0C2L3
P09496	P09496
Q7LAP4	Q7LAP4
Q9BXI6	Q9BXI6
Q99808	Q99808
P21781	P21781
Q9Y2G3	Q9Y2G3
O60287	O60287
Q6ZMS7	Q6ZMS7
O95834	O95834
Q16281	Q16281
Q16666	Q16666
Q8NFH5	Q8NFH5
Q9P1Z2	Q9P1Z2
Q5GH73	Q5GH73
P56270	P56270
Q9Y216	Q9Y216
O75204	O75204
Q9Y5E4	Q9Y5E4
Q6NTE8	Q6NTE8
Q8N2K0	Q8N2K0
Q9BXS0	Q9BXS0
Q8TBK2	Q8TBK2
Q8NC96	Q8NC96
A2A2Q9	A2A2Q9
A0A0A0MSR2	A0A0A0MSR2
Q96CX6	Q96CX6
Q6NSX1	Q6NSX1
Q5W0Q7	Q5W0Q7
A9IYQ1	A9IYQ1
Q8NBQ7	Q8NBQ7
O95168	O95168
O15169	O15169
Q8WUI4	Q8WUI4
Q9Y4W6	Q9Y4W6
Q8IV04	Q8IV04
Q9BVV2	Q9BVV2
Q8IYQ9	O00505
O75352	O75352
Q99418	Q99418
Q15042	Q15042
O75462	O75462
Q9Y2H8	Q9Y2H8
Q96DH6	Q96DH6
P11169	P11169
Q3KQR5	Q3KQR5
Q53T59	Q53T59
Q96RE7	Q96RE7
Q9Y303	Q9Y303
Q6ZT12	Q6ZT12
B1ALG1	B1ALG1
Q96T25	Q96T25
O75558	O75558
O95219	O95219
P31941	P31941
Q9UF56	Q9UF56
O43660	O43660
Q9UPU7	Q9UPU7
Q9Y6C7	Q9Y6C7
P30043	P30043
Q9NWR8	Q9NWR8
P21673	P21673
P80192	P80192
Q5T9A4	Q5T9A4
Q96RV3	Q96RV3
Q96JN0	Q96JN0
Q14624	Q14624
Q14257	Q14257
P08754	P08754
Q1HG43	Q1HG43
Q9C0B6	Q9C0B6
P54577	P54577
P06396	P06396
Q8N7J2	Q8N7J2
Q9NQ39	Q9NQ39
Q71RC2	Q71RC2
H7BXY6	H7BXY6
P0DMR2	P0DMR2
Q9H1D0	Q9H1D0
O00560	O00560
Q9Y6F6	Q9Y6F6
Q495B1	Q495B1
B1ALK7	B1ALK7
O95807	O95807
P23378	P23378
Q8TBU1	Q8TBU1
P15692	P15692
Q9H1Y3	Q9H1Y3
Q86UD7	Q86UD7
P30042	A0A0B4J2D5
P30042	P0DPI2
P61925	P61925
Q5T752	Q5T752
Q8NHG7	Q8NHG7
Q92917	Q92917
Q9UEW3	Q9UEW3
Q96H35	Q96H35
Q13496	Q13496
Q5W0U4	Q5W0U4
Q9NZN9	Q9NZN9
Q9Y584	Q9Y584
Q9H9B1	Q9H9B1
P04053	P04053
Q9H5Q4	Q9H5Q4
O43815	O43815
P43007	P43007
B2R643	B2R643
O95169	O95169
P49908	P49908
Q86YA3	Q86YA3
B3KV54	B3KV54
P54652	P54652
Q6PGP7	Q6PGP7
P18669	P18669
O95319	O95319
A2RU56	A2RU56
Q58EY4	Q58EY4
Q6NT52	Q6NT52
E9PJ24	E9PJ24
Q15836	Q15836
O15061	O15061
Q96RF0	Q96RF0
P28907	P28907
P00367	P00367
Q8NER1	Q8NER1
Q9H714	Q9H714
Q96KN7	Q96KN7
Q96LJ7	Q96LJ7
Q9NQ11	Q9NQ11
P0CG04	P0CG04
Q9BRA0	Q9BRA0
P45974	P45974
Q8WYP3	Q8WYP3
P60866	P60866
P08708	P08708
Q9UNZ5	Q9UNZ5
Q9C0D2	Q9C0D2
Q15262	Q15262
V9HW80	V9HW80
Q9UBF6	Q9UBF6
P16219	P16219
P42679	P42679
Q8WXS3	Q8WXS3
Q96IL0	Q96IL0
Q96HR8	Q96HR8
Q8N1H7	Q8N1H7
Q9BVG8	Q9BVG8
Q9BRL6	Q9BRL6
Q9GZU3	Q9GZU3
Q8N3J5	Q8N3J5
Q15038	Q15038
Q9Y324	Q9Y324
Q93099	Q93099
Q86V85	Q86V85
Q96S42	Q96S42
P18464	P01889
Q9Y462	Q9Y462
Q8N2C7	Q8N2C7
Q9HB75	Q9HB75
Q86UN3	Q86UN3
O43318	O43318
Q15545	Q15545
P35548	P35548
Q9H4T2	Q9H4T2
Q96K37	Q96K37
E9PCW1	E9PCW1
O00631	O00631
Q5VWQ8	Q5VWQ8
Q9H040	Q9H040
Q9P2W1	Q9P2W1
Q96FC7	Q96FC7
Q9UL63	Q9UL63
Q9UKI2	Q9UKI2
P19971	P19971
Q9HBT7	Q9HBT7
P23142	P23142
O43252	O43252
Q9Y231	Q9Y231
Q99661	Q99661
P17980	P17980
Q9HCJ6	Q9HCJ6
Q9BYG4	Q9BYG4
I3L1H5	I3L1H5
Q8TBB0	Q8TBB0
Q6UXX5	Q6UXX5
Q9H8H2	Q9H8H2
Q9UI47	Q9UI47
Q9BZ71	Q9BZ71
Q969G5	Q969G5
Q8WUN7	Q8WUN7
Q14161	Q14161
Q96MN5	Q96MN5
Q9UHR5	Q9UHR5
Q96FE7	Q96FE7
Q6BDS2	Q6BDS2
Q9H3K2	Q9H3K2
O95789	O95789
P09603	P09603
A9UF07	A9UF07
P55268	P55268
Q9Y3C5	Q9Y3C5
O75602	O75602
Q9BQ70	Q9BQ70
Q96AZ1	Q96AZ1
A0A0C4DFU2	A0A0C4DFU2
Q9NPE6	Q9NPE6
A1L3X4	A1L3X4
P00995	P00995
Q9HB58	Q9HB58
Q92547	Q92547
P48551	P48551
Q96IH6	Q9Y6C2
Q9BUB4	Q9BUB4
Q08397	Q08397
